score,sentence
157.50930786132812,I can distinctly remember the last time that I saw the elder Sothern play Dundreary.
76.78648376464844,29 Dictated April 29, 1908.
106.00228118896484,“Buck” Brown was a most patient creature.
99.71863555908203,Meals I dreaded as an Inquisition.
97.50330352783203,111 Fifth Avenue, Wednesday evening, May 20.
92.65178680419922,One bullet grazed the balloon, leaving a scar.
92.03360748291016,A strange and vanity-devoured, detestable woman!
94.49573516845703,It is a heavy loss.
99.34392547607422,The mystery was soon explained.
88.01637268066406,The Aldrich Memorial affair continued.
104.15015411376953,The memorial function was over.
114.84892272949219,And that is what I am.
90.7758560180664,Norman Hapgood wrote that paragraph.
71.25154113769531,90 90 8890 ; and the Rt.
100.52567291259766,Cyclopedia cyclopedia ” Which was true.
95.86042022705078,A little late, but worth while.
98.06373596191406,There was a sudden change.
114.77044677734375,F. N. Doubleday attended to it for me.
113.02392578125,and will never rise again.
117.833984375,It was a court of assize assize Assize .
86.00990295410156,[¶] 1000 altogether, cheap and cheapest together.
76.61109924316406,Wethersfield, Conn. Sunday Nov. 29.
75.50550079345703,Yours faithfully, faithfully, faithfully, J B Sutherland.
92.97846221923828,I was electrified with joy.
41.15048599243164,9 Dec. ’08 ’08 ’08 ’08.
106.18773651123047,Oh, games of any kind!
112.22452545166016,To wit To wit To-wit .
96.34821319580078,I shan’t order my monument yet.
70.91605377197266,Francis D. Millet in 1875.
88.80150604248047,and chests of drawers, drawers, drawers.
95.7931900024414,native village out in Missouri.
105.58765411376953,And here is another notice.
85.78446197509766,I’m writing a sea-story now.
84.4820556640625,It got a welcome reception.
86.2193832397461,I saw the mother buried.
